formula,probability,confidence
VCrO3,0.9761315578243228,Very High
TiCr2F4,0.9758549656771832,Very High
MnMoF3,0.9757620711943877,Very High
Mn(RuCl2)2,0.9757563964639777,Very High
Fe2NiS4,0.9756412717528823,Very High
MnSeBr2,0.9755014895033581,Very High
Ti(FeO2)2,0.9752796635919675,Very High
V(NiO2)2,0.9752772126672677,Very High
V(NiI2)2,0.9751046369591128,Very High
MnSBr2,0.9747727159982574,Very High
VBrCl2,0.9747602673707483,Very High
VFeS3,0.9746772291669158,Very High
CrBrF2,0.9746073101973096,Very High
V(CoI2)2,0.9745526775672579,Very High
TiCr2O4,0.974519635332346,Very High
CrI2Br,0.9742587278985319,Very High
MnCl2O,0.9740614561591772,Very High
VFeF3,0.9738991628841348,Very High
Mn(PtBr2)2,0.9736987772764898,Very High
MnCuF3,0.9736733548258192,Very High
CrCl2F,0.9734380738206403,Very High
V(CoBr2)2,0.9733893879348805,Very High
MnCl2F,0.9732593407195733,Very High
MnBrO2,0.9731575288551296,Very High
VCoCl3,0.9731405870196882,Very High
CrIBr2,0.9730591210170451,Very High
MnMo2F4,0.9730540657783333,Very High
Co2NiCl4,0.9730168477026034,Very High
VNiSe3,0.9727539039027499,Very High
Fe2F3,0.9727484825292431,Very High
TaMnCl3,0.972468118510023,Very High
MnNbCl3,0.9724623507741854,Very High
Cr2CuBr4,0.9722904858587663,Very High
CrClF2,0.9718309943040554,Very High
TiMn2F4,0.9716615829626352,Very High
MnBrF2,0.9715982640445013,Very High
MnMoO3,0.971314000689486,Very High
MnO3,0.9710896075349278,Very High
Ti(FeI2)2,0.9710869691955107,Very High
TaMnF3,0.9710592951873012,Very High
CrBr2F,0.971010746808923,Very High
CrNiF3,0.9709109729803792,Very High
MnRuCl3,0.970823133418308,Very High
CrCoSe3,0.9707230496967315,Very High
CrMoBr3,0.9706235030533884,Very High
MnClO2,0.9705618698987732,Very High
CoNiI3,0.9704950330339355,Very High
FeNiF3,0.9704887889400834,Very High
CrI2Cl,0.9702192796657283,Very High
TaMnO3,0.9698848366666545,Very High
CrICl2,0.9698205526130482,Very High
MnVF4,0.9695231674981051,Very High
MnClF2,0.9694042777169676,Very High
MnPdO3,0.9692955336345044,Very High
TiCrBr3,0.9692360055561066,Very High
TiMnCl3,0.9691637156431286,Very High
Cr2CuO4,0.9687958079398679,Very High
FeMoBr3,0.9686694344212997,Very High
TiMn2O4,0.9684894045101937,Very High
V(CoTe2)2,0.967989067707664,Very High
CoNiO3,0.9679750913375684,Very High
Fe2O3,0.9678536291506409,Very High
Cr2I3,0.9678123447720441,Very High
Ti(FeBr2)2,0.9677721023157836,Very High
TiFe2F4,0.9677386199722774,Very High
MnPtCl3,0.9676303048166013,Very High
Ti(FeCl2)2,0.967583837588492,Very High
CrFeBr4,0.9672930390441346,Very High
CrCoS3,0.9670858568568423,Very High
TaFeF3,0.9670578389948639,Very High
Mn2CuS4,0.9666078291168161,Very High
TiCrCl3,0.9665117267649777,Very High
CrCoCl4,0.9664720431285305,Very High
Fe2CuCl4,0.9661254170249161,Very High
Fe2I3,0.9659907849196747,Very High
Fe2NiSe4,0.9651013161114177,Very High
Fe2Br3,0.9650271647922087,Very High
Mn(PtCl2)2,0.9649003951851679,Very High
Cr2O3,0.964022353754565,Very High
CrCoTe3,0.963983973375649,Very High
NbCrBr3,0.9637838055711526,Very High
CrRuCl3,0.9636259575500985,Very High
Ti(CrS2)2,0.9634229522307889,Very High
Co2NiF4,0.9633868390068441,Very High
CoNiF3,0.9632588170857916,Very High
TaMnI3,0.9632324430641128,Very High
TiMnBr3,0.9630613718035,Very High
TaFeS3,0.9630349677718322,Very High
Cr2CuF4,0.9625714323566265,Very High
